name,latitude,longitude,district,category
Johny Thrift Store,10.0383947,76.5074145,ernakulam,thrift
Desi Thrift Shop,10.0383947,76.5074145,ernakulam,thrift
Slag.in,10.0383947,76.5074145,ernakulam,thrift
Spinners Export Surplus Store,10.0383947,76.5074145,ernakulam,surplus
Mathruka Charitable Society,10.8201535,75.9731768,malappuram,thrift
Violet Vog Men's Export Surplus Store,10.0383947,76.5074145,ernakulam,surplus
SIYA'S SURPLUS,10.0383947,76.5074145,ernakulam,surplus
Surplus Wholesale Factory,10.0383947,76.5074145,ernakulam,surplus
Gentleman's For Family,8.4882267,76.947551,thiruvananthapuram,surplus
Nidhi Thrift shop,8.4882267,76.947551,thiruvananthapuram,thrift
RETRO CLUB SURPLUS STORE,8.4882267,76.947551,thiruvananthapuram,surplus
HISTORICLOTH vintage / thrift store,11.2870632,75.781476,kozhikode,thrift
"Needle Intention, Thrift/Vintage",11.2656262,75.7877172,kozhikode,thrift
Calicut Surplus Store,11.2450558,75.7754716,kozhikode,surplus
DROP dress for less,10.5257655,76.2113152,thrissur,thrift
Sign up,10.5270099,76.214621,thrissur,surplus
HALLELUJAH CLOTHING,10.5270099,76.214621,thrissur,surplus
Thrift R Street,10.7873692,76.4742172,palakkad,thrift
Detrop_Surplusstore,9.5003416,76.4123364,alappuzha,surplus
fashionwest Export Surplus family shop,9.5003416,76.4123364,alappuzha,surplus
Brand Mart,9.5948095,76.5153379,kottayam,surplus
916 Coco Brand,9.4520696,76.5462406,kottayam,surplus
Hard Denim Surplus Clothes,11.8763836,75.3737973,kannur,surplus
Aatani - The Surplus Shoppe,11.8763836,75.3737973,kannur,surplus
Top V Thrift (Edappal),10.7837932,76.0077904,malappuram,thrift
Akbar Basha Second Hand Dress Buyers,11.1202289,76.1198109,malappuram,thrift
LOFT Mens And Women Surplus Products,9.2780841,76.9737443,pathanamthitta,surplus
Hip Hopz Kasaragod,12.4221964,75.1904446,kasaragod,surplus
Chic thrift store,11.6631885,76.259553,wayanad,thrift
Oldie Thrifted Villa,9.8154785,76.9991599,idukki,thrift
